,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
288,Ancud,99,CL,1604725067,81,-41.87,-73.82,46.0,14.99
289,Parabel',100,RU,1604725203,98,58.7,81.48,39.11,10.38
290,Mehamn,57,NO,1604725034,72,71.04,27.85,39.85,25.03
291,Dandong,1,CN,1604725215,32,40.13,124.39,60.19,14.27
292,Benghazi,44,LY,1604725217,71,32.12,20.07,67.32,14.36
293,Ust-Kuyga,95,RU,1604725218,85,70.02,135.6,-24.36,4.99
294,Yulara,19,AU,1604725219,9,-25.24,130.99,91.4,10.29
295,Ahipara,87,NZ,1604725220,89,-35.17,173.17,64.98,15.08
296,Artyom,90,AZ,1604725222,87,40.47,50.33,57.2,6.93
297,Chokurdakh,100,RU,1604725030,94,70.63,147.92,2.5,8.7
298,Burley,1,US,1604725224,43,42.54,-113.79,51.8,3.36
299,Deputatsky,22,RU,1604725225,92,69.3,139.9,-10.17,2.44
300,Thaba-Tseka,8,LS,1604725227,47,-29.52,28.61,58.46,13.78
301,Saint Anthony,1,US,1604725228,55,45.02,-93.22,64.99,16.11
302,Bandarbeyla,21,SO,1604725229,68,9.49,50.81,77.47,10.42
303,Kamenka,40,RU,1604725230,94,51.32,42.77,36.0,11.59
304,Shakawe,0,BW,1604725232,34,-18.37,21.85,80.22,4.74
305,Andenes,100,NO,1604725233,86,69.31,16.12,39.2,16.11
306,Esperance,90,AU,1604725024,72,-33.87,121.9,62.6,14.99
307,Severo-Kuril'sk,85,RU,1604725236,81,50.68,156.12,36.09,6.58
308,San Pedro de Macorís,75,DO,1604725237,94,18.46,-69.3,75.99,4.7
309,Shakhovskaya,100,RU,1604725238,84,56.03,35.51,46.13,14.58
310,Kidal,0,ML,1604725240,24,18.44,1.41,68.36,11.9
311,Gandai,0,IN,1604725241,28,21.67,81.1,79.18,7.23
312,Esim,82,GH,1604725242,89,4.87,-2.24,78.28,7.36
313,Setermoen,100,NO,1604725243,86,68.86,18.35,37.4,11.41
314,Mendi,91,PG,1604725245,100,-6.18,143.65,59.7,1.95
315,Nchelenge,18,ZM,1604725246,83,-9.35,28.73,74.25,6.11
316,Beya,100,RU,1604725247,86,53.05,90.91,40.55,15.08
317,Mikhaylovka,20,RU,1604725248,92,50.06,43.24,37.99,5.99
318,Borogontsy,87,RU,1604725250,88,62.67,131.17,-3.21,2.95
319,Polignano a Mare,40,IT,1604725251,93,41.0,17.22,53.6,5.82
320,San Jose,40,US,1604725035,58,37.34,-121.89,53.6,6.93
321,Palmerston,20,AU,1604725253,46,-12.49,130.98,93.99,10.29
322,Krasnosel'kup,100,RU,1604725008,98,65.7,82.47,32.2,10.16
323,Ojinaga,1,MX,1604725256,35,29.57,-104.42,71.6,11.41
324,Sisimiut,100,GL,1604725258,80,66.94,-53.67,13.15,11.59
325,Kota Kinabalu,20,MY,1604725259,66,5.97,116.07,89.6,6.93
326,Norman Wells,90,CA,1604725260,92,65.28,-126.83,10.4,2.24
327,Ushtobe,0,KZ,1604725261,33,45.25,77.98,54.66,1.81
328,Havelock,1,US,1604725040,93,34.88,-76.9,64.4,8.05
329,Bandar-e Lengeh,3,IR,1604725264,73,26.56,54.88,75.2,6.93
330,Westport,1,US,1604725265,87,41.14,-73.36,57.0,5.82
331,Bemidji,1,US,1604725266,81,47.47,-94.88,42.8,4.32
332,Te Anau,100,NZ,1604725267,77,-45.42,167.72,47.82,7.09
333,Hamilton,1,US,1604725268,93,39.18,-84.53,55.0,3.31
334,Teknāf,0,BD,1604725270,55,20.86,92.31,83.26,3.47
335,Yefremov,99,RU,1604725271,84,53.15,38.1,38.8,14.63
336,Leningradskiy,100,RU,1604725272,97,69.38,178.42,26.69,18.68
337,Amuntai,8,ID,1604725273,42,-2.42,115.25,97.95,1.21
338,Bālāghāt,0,IN,1604725275,32,21.8,80.18,79.32,2.26
339,Ca Mau,23,VN,1604725276,65,9.18,105.15,87.66,6.4
340,Mitsamiouli,1,KM,1604725277,72,-11.38,43.28,80.17,11.97
341,Vanimo,86,PG,1604725278,71,-2.67,141.3,84.06,8.75
342,Safaga,87,EG,1604725279,47,26.73,33.94,72.05,4.36
343,Opuwo,67,NA,1604725281,26,-18.06,13.84,66.29,2.26
344,Plácido de Castro,98,BR,1604725282,75,-10.34,-67.19,75.04,1.12
345,Gizo Government Station,68,SB,1604725283,67,-8.1,156.84,85.3,3.49
346,Châlons-en-Champagne,0,FR,1604725284,87,48.95,4.37,48.2,10.29
347,Bela Vista,0,BR,1604725286,45,-22.11,-56.52,70.39,3.76
348,Tual,38,ID,1604725287,73,-5.67,132.75,83.19,12.8
349,Yoichi,75,JP,1604725288,45,43.2,140.77,64.4,11.41
350,Alofi,24,NU,1604725289,69,-19.06,-169.92,78.8,13.87
351,The Pas,90,CA,1604725290,92,53.83,-101.25,17.6,4.7
352,Vestmannaeyjar,99,IS,1604725291,67,63.44,-20.27,42.08,11.03
353,Walvis Bay,0,NA,1604725293,87,-22.96,14.51,59.0,8.05
354,Ust'-Omchug,97,RU,1604725294,90,61.15,149.63,2.41,8.63
355,Maragogi,73,BR,1604725295,87,-9.01,-35.22,76.84,8.59
356,Kinkala,20,CG,1604725296,94,-4.36,14.76,71.6,3.36
357,San Quintín,43,MX,1604725298,80,30.48,-115.95,65.61,5.91
358,Kruisfontein,95,ZA,1604725299,85,-34.0,24.73,62.01,1.01
359,Evanston,40,US,1604725048,59,42.04,-87.69,63.0,10.29
360,Onega,98,RU,1604725301,81,63.91,38.14,40.33,16.8
361,Yar-Sale,100,RU,1604725302,99,66.83,70.83,29.1,6.93
362,Kaoma,56,ZM,1604725303,43,-14.78,24.8,76.12,5.82
363,Maseru,41,LS,1604725304,42,-29.32,27.48,64.99,3.74
364,Itupiranga,100,BR,1604725306,95,-5.13,-49.33,70.97,3.31
365,Sivaki,100,RU,1604725307,98,52.63,126.75,26.96,7.49
366,Raja,99,SS,1604725308,48,8.46,25.68,71.94,3.11
367,Ranong,75,TH,1604725309,70,9.97,98.63,87.8,6.93
368,Lakes Entrance,51,AU,1604725310,54,-37.88,147.98,60.01,5.01
369,Cayenne,0,GF,1604725061,100,4.93,-52.33,75.2,1.12
370,Kuching,40,MY,1604725313,88,1.55,110.33,80.6,2.24
371,Homer,1,US,1604725314,86,59.64,-151.55,37.99,3.36
372,Hollola,0,FI,1604725315,95,61.05,25.43,39.99,7.99
373,Talnakh,40,RU,1604725316,78,69.49,88.4,12.2,13.42
374,Trincomalee,31,LK,1604725318,75,8.57,81.23,84.13,10.51
375,Yumbe,77,UG,1604725319,93,3.47,31.25,68.99,0.13
376,Hauterive,0,FR,1604725320,58,46.09,3.45,59.0,16.11
377,Gunnedah,0,AU,1604725321,31,-30.98,150.25,77.0,6.93
378,Plérin,99,FR,1604725322,94,48.54,-2.78,48.99,4.0
379,Chumikan,7,RU,1604725324,92,54.72,135.31,22.06,13.49
380,Shenjiamen,47,CN,1604725325,54,29.96,122.3,67.78,11.12
381,Kiryat Gat,0,IL,1604725148,72,31.61,34.76,62.01,4.14
382,Kununurra,91,AU,1604725327,46,-15.77,128.73,91.4,5.82
383,San Cristobal,50,VE,1604725328,91,7.77,-72.22,66.11,0.96
384,Aniva,40,RU,1604725329,87,46.71,142.53,42.8,4.47
385,Mana,76,GF,1604725331,87,5.66,-53.78,76.82,8.99
386,Galle,1,LK,1604725332,64,6.04,80.22,85.86,2.82
387,Klyuchi,13,RU,1604725333,50,52.27,79.17,47.05,12.12
388,Hervey Bay,50,AU,1604725334,57,-25.3,152.85,79.0,3.0
389,Guararapes,0,BR,1604725335,45,-21.26,-50.64,69.04,14.5
390,Nizhneudinsk,100,RU,1604725336,87,54.91,99.03,31.26,3.87
391,Omboué,79,GA,1604725337,92,-1.57,9.26,76.59,7.65
392,Ilām,0,NP,1604725339,53,26.92,87.92,67.86,5.17
393,Rahā,43,IN,1604725340,78,26.23,92.52,75.27,4.47
394,Tsimmerbude,90,RU,1604725341,93,54.67,20.13,51.8,11.18
395,Sabha,94,LY,1604725088,79,27.04,14.43,56.98,7.58
396,Mindelo,40,CV,1604725343,73,16.89,-24.98,77.0,6.93
397,Los Llanos de Aridane,20,ES,1604725345,63,28.66,-17.92,66.2,10.29
398,Roverud,90,NO,1604725346,100,60.25,12.05,33.8,4.7
399,Hoquiam,1,US,1604725347,93,46.98,-123.89,45.0,2.42
400,Yining,0,CN,1604725348,38,29.04,114.56,74.16,3.85
401,Mabaruma,22,GY,1604725350,99,8.2,-59.78,73.69,1.97
402,Boca do Acre,99,BR,1604725351,78,-8.75,-67.4,75.38,1.05
403,Bonfim,98,BR,1604725352,88,3.08,-59.95,76.53,7.23
404,General Higinio Morínigo,0,PY,1604725353,44,-25.95,-55.92,63.91,1.95
405,Namie,23,JP,1604725354,39,37.48,141.0,73.99,1.99
406,Lenoir,1,US,1604725355,93,35.23,-77.65,63.0,4.92
407,Constitución,0,CL,1604725357,69,-35.33,-72.42,55.36,8.37
408,Liberal,1,US,1604725123,87,37.04,-100.92,55.4,12.75
409,Badou,29,TG,1604725359,84,7.58,0.6,71.51,0.94
410,Lapua,13,FI,1604725360,85,62.97,23.01,46.99,4.0
411,Yomou,98,GN,1604725361,99,7.56,-9.27,69.21,1.32
412,Acapulco de Juárez,77,MX,1604725362,83,16.86,-99.89,78.1,5.77
413,Husavik,90,IS,1604725363,59,66.04,-17.34,37.4,14.99
414,Salisbury,64,GB,1604725365,93,51.07,-1.8,42.8,8.05
415,Chioggia,0,IT,1604725366,87,45.23,12.29,46.99,3.36
416,Peski,90,RU,1604725367,87,55.22,38.76,42.8,15.66
417,Coahuayana Viejo,68,MX,1604725368,84,18.73,-103.68,73.83,3.0
418,Pringsewu,71,ID,1604725369,52,-5.36,104.97,89.33,4.47
419,Provideniya,53,RU,1604725370,91,64.38,-173.3,33.12,21.14
420,Santa Cruz de la Sierra,67,BO,1604725212,78,-17.8,-63.17,78.8,3.36
421,Khandyga,98,RU,1604725373,83,62.67,135.6,-6.0,1.77
422,Araouane,29,ML,1604725374,18,18.9,-3.53,77.56,8.68
423,Cap Malheureux,0,MU,1604725375,65,-19.98,57.61,78.01,10.0
424,Boguchany,100,RU,1604725376,95,58.38,97.45,21.54,7.02
425,Mandalgovi,0,MN,1604725377,71,45.76,106.27,32.81,18.84
426,Nanortalik,100,GL,1604725378,87,60.14,-45.24,34.23,18.43
427,Aktash,65,RU,1604725379,93,50.3,87.73,28.6,3.04
428,Akdepe,100,TM,1604725381,52,42.06,59.38,51.8,6.93
429,Ngorongoro,94,TZ,1604725382,96,-3.24,35.49,54.7,6.93
430,Benjamin Constant,75,BR,1604725383,100,-4.38,-70.03,80.6,2.24
431,Faanui,0,PF,1604725384,80,-16.48,-151.75,79.3,14.03
432,Flin Flon,97,CA,1604725385,97,54.77,-101.86,13.15,3.6
433,Mount Darwin,0,ZW,1604725386,38,-16.77,31.58,80.92,5.08
434,Taicheng,0,CN,1604725387,37,38.73,113.23,50.14,18.77
435,Santa Cruz de Tenerife,75,ES,1604725389,87,28.47,-16.25,66.0,2.24
436,Saint-Leu,0,RE,1604725390,65,-21.15,55.28,78.8,17.22
437,Hinundayan,100,PH,1604725391,82,10.35,125.25,77.77,7.09
438,Vardø,79,NO,1604725392,75,70.37,31.11,40.03,25.34
439,Los Zacatones,7,MX,1604725393,61,22.95,-102.05,51.67,16.91
440,Kodino,100,RU,1604725394,84,63.72,39.64,39.94,8.25
441,Bilma,0,NE,1604725395,45,18.69,12.92,62.73,12.24
442,Värnamo,70,SE,1604725397,96,57.19,14.04,48.0,8.34
443,Igarka,100,RU,1604725398,95,67.47,86.58,8.87,17.78
444,Coffs Harbour,40,AU,1604725174,60,-30.3,153.13,71.6,12.75
445,Kattivākkam,75,IN,1604725400,94,13.22,80.32,80.6,4.7
446,São Filipe,98,CV,1604725401,79,14.9,-24.5,78.26,5.28
447,Leeton,0,AU,1604725402,31,-34.57,146.4,75.99,10.29
448,Divnogorsk,100,RU,1604725403,90,55.96,92.36,37.4,8.95
449,Kemin,5,KG,1604725405,25,42.78,75.69,59.65,8.55
450,Santa Maria,75,BR,1604725267,82,-29.68,-53.81,64.4,11.41
451,Diamantino,100,BR,1604725407,52,-14.41,-56.45,77.76,5.91
452,Fairbanks,90,US,1604725308,92,64.84,-147.72,30.0,5.39
453,Sarangani,95,PH,1604725409,74,5.4,125.46,83.79,10.6
454,Lar,0,IN,1604725410,29,26.2,83.97,81.48,0.92
455,Yeppoon,19,AU,1604725411,42,-23.13,150.73,84.2,9.17
456,Tazovsky,100,RU,1604725413,99,67.47,78.7,24.4,5.12
457,Tambo,56,PE,1604725414,67,-14.8,-73.92,40.73,3.0
458,Amahai,100,ID,1604725415,66,-3.33,128.92,84.56,8.43
459,Mitú,58,CO,1604725416,97,1.2,-70.17,73.02,1.61
460,Sidvokodvo,21,SZ,1604725417,44,-26.63,31.42,78.98,1.41
461,Sabang,94,ID,1604725418,79,5.89,95.32,79.83,7.34
462,Gloversville,1,US,1604725419,58,43.05,-74.34,57.2,11.41
463,Turukhansk,100,RU,1604725421,96,65.82,87.98,14.41,14.56
464,Boende,59,CD,1604725422,97,-0.22,20.87,69.93,1.34
465,Gamba,100,GA,1604725423,94,-2.65,10.0,76.05,8.25
466,Ngunguru,31,NZ,1604725424,92,-35.62,174.5,68.0,13.0
467,Orong,100,PH,1604725425,79,9.94,122.83,81.52,9.75
468,Balaipungut,79,ID,1604725426,56,1.05,101.28,90.63,3.53
469,Porto Torres,0,IT,1604725427,93,40.84,8.4,53.6,5.82
470,Egvekinot,100,RU,1604725429,99,66.32,-179.17,24.98,4.03
471,Garmsār,41,IR,1604725430,22,35.22,52.34,68.85,4.29
472,Havre-St-Pierre,90,CA,1604725431,93,50.23,-63.6,35.6,3.36
473,Nong Kung Si,66,TH,1604725432,99,16.65,103.3,82.99,10.18
474,Iwaki,25,JP,1604725329,47,37.05,140.88,70.0,1.01
475,Mount Isa,14,AU,1604725435,5,-20.73,139.5,96.8,12.75
476,Bolobo,96,CD,1604725436,94,-2.17,16.23,70.74,1.66
477,Amos,20,CA,1604725437,81,48.57,-78.12,46.4,4.7
478,Tayturka,88,RU,1604725438,90,52.87,103.46,23.5,4.47
479,Arrondissement de Marseille,0,FR,1604725439,93,43.33,5.5,60.01,4.7
480,Terney,36,RU,1604725440,46,45.05,136.61,51.4,12.5
481,Faya,0,SA,1604725442,87,18.39,42.45,55.4,4.14
482,Mugur-Aksy,58,RU,1604725443,86,50.35,90.5,34.12,3.51
483,Mīnāb,10,IR,1604725444,69,27.15,57.08,77.0,4.7
484,Nagato,75,JP,1604725445,88,34.38,131.2,68.0,2.24
485,Lagoa,40,PT,1604725385,70,39.05,-27.98,59.31,33.31
486,Sungai Penuh,92,ID,1604725447,77,-2.08,101.38,77.56,1.7
487,Waipawa,76,NZ,1604725187,88,-41.41,175.52,64.4,18.34
488,Nizhniy Baskunchak,93,RU,1604725450,78,48.22,46.83,44.98,17.65
489,Rochegda,98,RU,1604725451,88,62.8,43.25,36.12,8.48
490,Genhe,100,CN,1604725452,94,50.78,121.52,22.48,2.66
491,Olafsvik,92,IS,1604725453,74,64.89,-23.71,39.49,21.47
492,Gallup,40,US,1604725454,28,35.53,-108.74,59.0,11.41
493,Praia,0,CV,1604725435,88,14.92,-23.51,75.2,9.17
494,Kavaratti,40,IN,1604725456,83,10.57,72.64,84.2,4.7
495,Ouadda,40,CF,1604725458,69,8.08,22.4,68.49,1.48
496,Kupang,14,ID,1604725279,43,-10.17,123.58,91.74,11.65
497,Forbesganj,0,IN,1604725460,45,26.3,87.25,80.13,1.92
498,Kaeo,71,NZ,1604725461,92,-35.1,173.78,68.0,13.0
499,Meulaboh,100,ID,1604725462,88,4.14,96.13,77.65,5.93
500,Mucuri,47,BR,1604725464,88,-18.09,-39.55,72.84,4.52
501,Namatanai,43,PG,1604725465,66,-3.67,152.43,84.52,9.69
502,Nantucket,90,US,1604725466,100,41.28,-70.1,57.2,16.11
503,Tomatlán,1,MX,1604725467,93,19.93,-105.25,71.85,2.44
504,Bonthe,91,SL,1604725468,86,7.53,-12.51,77.95,1.77
505,Östersund,12,SE,1604725469,65,63.18,14.64,45.0,3.36
506,Lorengau,73,PG,1604725470,73,-2.02,147.27,85.1,10.87
507,Ixtapa,5,MX,1604725218,83,20.7,-105.2,78.01,3.18
508,Izyum,89,UA,1604725473,91,49.21,37.25,42.6,9.4
509,Terrace,20,CA,1604725275,92,54.52,-128.6,28.4,1.7
510,Samarai,27,PG,1604725475,78,-10.62,150.67,82.94,10.83
511,Port-Gentil,87,GA,1604725476,83,-0.72,8.78,79.5,12.84
512,Taoudenni,78,ML,1604725477,20,22.68,-3.98,75.34,5.55
513,Vila Franca do Campo,75,PT,1604725478,62,37.72,-25.43,59.0,11.41
514,Kemijärvi,91,FI,1604725480,85,66.71,27.43,35.47,9.15
515,Bambanglipuro,16,ID,1604725449,63,-7.95,110.28,86.29,11.63
516,Rawlins,1,US,1604725482,28,41.79,-107.24,57.2,23.04
517,Pizhanka,96,RU,1604725483,90,57.46,48.54,34.41,7.58
518,Hirara,40,JP,1604725484,74,24.8,125.28,86.0,11.41
519,Kerrville,1,US,1604725449,87,30.05,-99.14,57.0,5.44
520,Afşin,31,TR,1604725487,70,38.25,36.91,43.95,3.15
521,Fomboni,0,KM,1604725488,76,-12.28,43.74,79.84,10.36
522,Khudumelapye,3,BW,1604725489,32,-23.88,24.75,76.46,9.37
523,Aleksandrov Gay,96,RU,1604725490,74,50.15,48.57,41.65,15.55
524,Iranshahr,0,IR,1604725491,22,27.2,60.68,69.8,6.93
525,Fukuechō,75,JP,1604725492,77,32.69,128.84,69.8,9.17
526,Canoinhas,2,BR,1604725437,98,-26.18,-50.39,48.56,2.26
527,Voyvozh,46,RU,1604725495,99,62.89,54.96,29.14,3.38
528,Arlit,0,NE,1604725496,25,18.74,7.39,67.08,7.63
529,Sola,84,VU,1604725497,74,-13.88,167.55,81.88,7.16
530,Hualmay,42,PE,1604725499,85,-11.1,-77.61,60.42,3.89
531,Banda Aceh,99,ID,1604725500,78,5.56,95.32,79.25,4.34
532,Elko,1,US,1604725208,12,41.0,-115.5,62.6,12.75
533,Sept-Îles,96,CA,1604725502,93,50.2,-66.38,35.6,10.31
534,Tyrma,81,RU,1604725503,85,50.08,132.17,31.1,2.68
535,Udachny,90,RU,1604725505,84,66.42,112.4,5.0,2.24
536,Birao,20,CF,1604725329,40,10.28,22.79,71.87,6.42
537,Bud,1,US,1604725507,76,39.45,-86.18,55.99,6.17
538,Moorhead,1,US,1604725508,86,46.87,-96.77,44.6,12.75
539,Korla,100,CN,1604725509,41,41.76,86.15,48.92,6.96
540,Kalmunai,20,LK,1604725510,64,7.42,81.82,87.04,9.73
541,Shache,0,CN,1604725511,31,38.42,77.24,54.97,1.77
542,Quatre Cocos,75,MU,1604725513,69,-20.21,57.76,78.01,11.41
543,Emerald,90,AU,1604725514,43,-23.53,148.17,90.0,13.87
544,Sioux Lookout,75,CA,1604725364,86,50.1,-91.92,33.8,5.82
545,Ritchie,0,ZA,1604725516,63,-29.04,24.6,62.6,4.7
546,Tubualá,40,PA,1604725517,83,9.52,-79.03,78.8,6.93
547,Yuancheng,0,CN,1604725518,34,36.65,107.79,55.06,15.73
548,Saint Peter,75,BB,1604725520,88,13.25,-59.62,80.6,18.34
549,Ugoofaaru,89,MV,1604725521,74,5.67,73.0,83.68,10.0
550,La Unión,41,PE,1604725522,76,-5.4,-80.75,63.34,8.16
551,Plettenberg Bay,67,ZA,1604725523,73,-34.05,23.37,62.28,2.82
552,Guerrero,59,MX,1604725524,67,17.67,-100.0,65.73,3.0
553,Presidencia Roque Sáenz Peña,1,AR,1604725526,62,-26.79,-60.44,65.03,8.23
554,Lata,49,PT,1604725527,91,40.16,-8.33,55.99,1.01
555,Tuni,0,IN,1604725528,65,17.35,82.55,83.61,9.51
556,Xining,0,CN,1604725529,49,36.62,101.77,43.43,2.37
557,Vaitape,0,PF,1604725530,78,-16.52,-151.75,80.13,13.98
558,Zhigansk,46,RU,1604725532,89,66.77,123.37,-11.97,4.43
559,Ambilobe,78,MG,1604725533,39,-13.2,49.05,86.22,6.35
560,Qasigiannguit,100,GL,1604725534,51,68.82,-51.19,14.0,21.92
561,Ossora,82,RU,1604725535,86,59.24,163.07,30.63,3.47
562,Goldsboro,1,US,1604725536,100,35.38,-77.99,64.4,5.82
563,Hobyo,86,SO,1604725537,74,5.35,48.53,81.0,11.36
564,Havøysund,75,NO,1604725538,86,71.0,24.66,37.4,25.28
565,Nizhniy Kuranakh,99,RU,1604725539,92,58.84,125.49,10.98,6.2
566,Jining,0,CN,1604725541,21,35.41,116.58,70.25,12.82
567,Marshall,1,US,1604725510,82,34.38,-86.33,55.99,5.1
568,Helmbrechts,0,DE,1604725543,69,50.24,11.72,36.0,2.66
569,Lukulu,78,ZM,1604725544,63,-14.37,23.24,73.62,6.2
570,Nemuro,20,JP,1604725362,52,43.32,145.57,64.4,17.22
571,Anadyr,90,RU,1604725546,92,64.75,177.48,24.8,17.9
572,Alta Floresta,61,BR,1604725547,85,-9.88,-56.09,71.96,2.62
573,Envira,49,BR,1604725549,79,-7.3,-70.22,74.79,1.74
574,Kyrylivka,100,UA,1604725550,69,46.38,35.37,50.25,12.37
